!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
"ignore	"IGNORE
creek	CREEK
cref2	CREF2
cress	CRESS
crested	CRESTED
cricket	CRICKET
cricketer	CRICKETER
cricketer/career	CRICKETER/CAREER
cricketer/national	CRICKETER/NATIONAL
cricketers	CRICKETER +(s)
criminal	CRIMINAL
cripps	CRIPPS
crisis	CRISIS
critic	CRITIC
croatia	CROATIA
croatian	CROATIAN
crocodile	CROCODILE
crohn's	CROHN'S
cromā	CROMĀ
crop	CROP
crore	CRORE
cross	CROSS
crow	CROW
crowned	CROWNED
cryptography	CRYPTOGRAPHY
crystal	CRYSTAL
cs	CS
cs1	CS1
cs2	CS2
csb	CSB
css	CSS
css3	CSS3
cuaxdon	CUAXDON
cuba	CUBA
cube	CUBE
cubic	CUBIC
cuckoo	CUCKOO
cuckooshrike	CUCKOOSHRIKE
cucumber	CUCUMBER
cuddalore	CUDDALORE
cuisine	CUISINE
culture	CULTURE
cumin	CUMIN
cumini	CUMINI
cuore	CUORE
cup	CUP
cupcake	CUPCAKE
curium	CURIUM
curlie	CURLIE
currency	CURRENCY
current	CURRENT
curry	CURRY
cut	CUT
cuttack	CUTTACK
cutting	CUTTING
cvt	CVT
cycle	CYCLE
cycling	CYCLING
cyclist	CYCLIST
cyclone	CYCLONE
cyclones	CYCLONE +(s)
cyclonic	CYCLONIC
cyezbot	CYEZBOT
cynodon	CYNODON
cyprus	CYPRUS
cyril	CYRIL
cyrus	CYRUS
czech	CZECH
czechoslovakia	CZECHOSLOVAKIA
d.	D.
d.c.	D.C.
da	DA
dabeli	DABELI
dabhoi	DABHOI
dabhosa	DABHOSA
dabur	DABUR
dachigam	DACHIGAM
dactylon	DACTYLON
dada	DADA
dadabhai	DADA BHAI
dadar	DADAR
dadasaheb	DADASAHEB
dadawala	DADAWALA
dadeldhura	DADELDHURA
dadoo	DADOO
dadra	DADRA
dadra,	DADRA,
dagdi	DAGDI
dagger	DAGGER
dagli	DAGLI
dahanu	DAHANU
dahegam	DAHEGAM
dahi	DAHI
dahida	DAHIDA
dahir	DAHIR
dahisar	DAHISAR
dahiwala	DAHIWALA
dahiya	DAHIYA
dahod	DAHOD
dahomey	DAHOMEY
dai	DAI
dai-minsar	DAI MINSAR
dailekh	DAILEKH
daily	DAILY
dairy	DAIRY
dakor	DAKOR
dakota	DAKOTA
daksha	DAKSHA
dakshin	DAKSHIN
dakshina	DAKSHINA
daku	DAKU
dal	DAL
dal/meta/color	DAL/META/COLOR
dalal	DALAL
dalbergia	DALBERGIA
dalbergioides	DALBERGIOIDES
dalhousie,	DALHOUSIE,
dalichand	DALICHAND
dalit	DALIT
dallas	DALLAS
dalpatbhai	DALPATBHAI
dalpatram	DALPATRAM
dam	DAM
daman	DAMAN
daman,	DAMAN,
damani	DAMANI
damodar	DAMODAR
damodaran	DAMODARAN
damoh	DAMOH
damor	DAMOR
dams	DAM +(s)
dance	DANCE
dances	DANCE +(s)
dandi	DANDI
dandi,	DANDI,
dandiya	DANDIYA
dang	DANG
daniel	DANIEL
danny	DANNY
danta	DANTA
danta,	DANTA,
dantewada	DANTEWADA
dantiwada	DANTIWADA
daphla	DAPHLA
darbhanga	DARBHANGA
darchula	DARCHULA
darev	DAREV
dariapur	DARIAPUR
darjeeling	DARJEELING
darji	DARJI
darkicebot	DARKICEBOT
darma	DARMA
darmstadtium	DARMSTADTIUM
darrah	DARRAH
darrang	DARRANG
darshan	DARSHAN
darshana	DARSHANA
dart	DART
darter	DARTER
darul	DARUL
darwaza	DARWAZA
darwin	DARWIN
darśana	DARŚANA
das	DAS
dasa	DASA
dash	DASH
dashami	DASHAMI
dasharatha	DASHARATHA
dashavatara	DASHAVATARA
daskroi	DASKROI
data	DATA
data/documentation	DATA/DOCUMENTATION
data/scripts	DATA/SCRIPTS
date	DATE
dated	DATED
datei18n	DATE I18N
dates	DATE +(s)
datia	DATIA
datrana	DATRANA
dattatreya	DATTATREYA
dausa	DAUSA
davanagere	DAVANAGERE
davar	DAVAR
dave	DAVE
david	DAVID
davy	DAVY
dawki	DAWKI
dawkins	DAWKINS
day	DAY
dayadra	DAYADRA
dayal	DAYAL
dayananda	DAYANANDA
dayaram	DAYARAM
days	DAY +(s)
db	DB
dcljr	DCLJR
dd	DD
de	DE
de!	DE!
de-1	DE 1
de-2	DE 2
dead	DEAD
deadly	DEADLY
deadmau5	DEADMAU5
deaglebot	DEAGLEBOT
death	DEATH
deathly	DEATHLY
deaths	DEATH +(s)
debagarh	DEBAGARH
debian	DEBIAN
debsa	DEBSA
dec	DEC
decade	DECADE
deccan	DECCAN
december	DECEMBER
decimals	DECIMALS
declaration	DECLARATION
decorations	DECORATIONS
decreasepositive	DECREASEPOSITIVE
dediapada	DEDIAPADA
dediyapada	DEDIYAPADA
dee	DEE
deedat	DEEDAT
deekshabhoomi	DEEKSHABHOOMI
deendayal	DEENDAYAL
deepak	DEEPAK
deepika	DEEPIKA
deer	DEER
deesa	DEESA
defamation	DEFAMATION
defence	DEFENCE
defn	DEFN
deforestation	DEFORESTATION
degam	DEGAM
degree/bachelor	DEGREE/BACHELOR
degree/bsc	DEGREE/BSC
dehat	DEHAT
dehlavi	DEHLAVI
dehradun	DEHRADUN
deities	DEITIES
deity	DEITY
deity/wikidata	DEITY/WIKIDATA
del	DEL
delaware	DELAWARE
deletion	DELETION
deletion/dated	DELETION/DATED
delhi	DELHI
delink	DELINK
delirium	DELIRIUM
delphi	DELPHI
delta	DELTA
delvada	DELVADA
dementia	DEMENTIA
demi	DEMI
democracy	DEMOCRACY
democratic	DEMOCRATIC
demography	DEMOGRAPHY
demoiselle	DEMOISELLE
demotemplate	DEMOTEMPLATE
dengue	DENGUE
denmark	DENMARK
dennis	DENNIS
denniss	DENNIS +(s)
denpasar	DENPASAR
density	DENSITY
dentures	DENTURES
denzongpa	DENZONGPA
deoband	DEOBAND
deoghar	DEOGHAR
deoria	DEORIA
dependencies	DEPENDENCIES
dependent	DEPENDENT
depletion	DEPLETION
deprecated	DEPRECATED
depressive	DEPRESSIVE
deputy	DEPUTY
derby	DERBY
derol	DEROL
des	DES
desai	DESAI
desalination	DESALINATION
desalpar	DESALPAR
desam	DESAM
description	DESCRIPTION
desert	DESERT
deserts	DESERT +(s)
deshmukh	DESHMUKH
desi	DESI
design	DESIGN
designation	DESIGNATION
designation/colour	DESIGNATION/COLOUR
designation/divbox	DESIGNATION/DIVBOX
designation/text	DESIGNATION/TEXT
destination	DESTINATION
detect	DETECT
detect/config	DETECT/CONFIG
detect/data	DETECT/DATA
detroj	DETROJ
detroj-rampura	DETROJ RAMPURA
deukhuri	DEUKHURI
dev	DEV
devaiah	DEVAIAH
deval	DEVAL
devanagari	DEVANAGARI
devanand	DEVANAND
devaria,	DEVARIA,
devayat	DEVAYAT
devbhoomi	DEVBHOOMI
devbhumi	DEVBHUMI
development	DEVELOPMENT
deven	DEVEN
devendra	DEVENDRA
devgadh	DEVGADH
devi	DEVI
devices	DEVICES
devikulam	DEVIKULAM
devil	DEVIL
devipatan	DEVI PATAN
devkund	DEVKUND
devla,	DEVLA,
devprayag	DEVPRAYAG
devrajiya	DEVRAJIYA
devsar	DEVSAR
dewang	DEWANG
dewas	DEWAS
dewri	DEWRI
dey	DEY
dhaba	DHABA
dhadgaon	DHADGAON
dhadhar	DHADHAR
dhading	DHADING
dhaka	DHAKA
dhaky	DHAKY
dham	DHAM
dhamay	DHAMAY
dhami	DHAMI
dhamma	DHAMMA
dhamtari	DHAMTARI
dhan	DHAN
dhana	DHANA
dhanaulti	DHANAULTI
dhanbad	DHANBAD
dhandhuka	DHANDHUKA
dhanera	DHANERA
dhaneti	DHANETI
dhani	DHANI
dhank	DHANK
dhansak	DHANSAK
dhansukhlal	DHAN SUKHLAL
dhansura	DHANSURA
dhanteras	DHANTERAS
dhar	DHAR
dharampur	DHARAMPUR
dharampur,	DHARAMPUR,
dharamshala	DHARAMSHALA
dharamsinh	DHARAMSINH
dharamvir	DHARAMVIR
dharangadhra	DHARANGADHRA
dharangaon	DHARANGAON
dharchula	DHARCHULA
dhari,	DHARI,
dharmaj	DHARMAJ
dharmakumarsinhji	DHARMAKUMARSINHJI
dharmananda	DHARMANANDA
dharmanatha	DHARMANATHA
dharmapuri	DHARMAPURI
dharmendra	DHARMENDRA
dharoi	DHAROI
dhaulagiri	DHAULAGIRI
dhauliganga	DHAULIGANGA
dhavda	DHAVDA
dhebar	DHEBAR
dhebra	DHEBRA
dhekelia	DHEKELIA
dhemaji	DHEMAJI
dhenkanal,	DHENKANAL,
dhima	DHIMA
dhinodhar	DHINODHAR
dhiren	DHIREN
dhirendra	DHIRENDRA
dhiru	DHIRU
dhiruben	DHIRUBEN
dhirubhai	DHIRUBHAI
dhobi	DHOBI
dhodia	DHODIA
dhokadva	DHOKADVA
dhokla	DHOKLA
dhol	DHOL
dhola	DHOLA
dhola,	DHOLA,
dholakia	DHOLAKIA
dholavira	DHOLAVIRA
dhola–sadiya	DHOLA–SADIYA
dhole	DHOLE
dholera	DHOLERA
dholidhaja	DHOLIDHAJA
dholka	DHOLKA
dholpur	DHOLPUR
dhoni	DHONI
dhoraji	DHORAJI
dhoro	DHORO
dhoti	DHOTI
dhrabavad	DHRABAVAD
dhrang	DHRANG
dhrangadhra	DHRANGADHRA
dhrewad	DHREWAD
dhrishtadyumna	DHRISHTADYUMNA
dhritarashtra	DHRITARASHTRA
dhrol	DHROL
dhruv	DHRUV
dhuandhar	DHUANDHAR
dhule	DHULE
dhumketu	DHUMKETU
dhupgarh	DHUPGARH
dhuvaran	DHUVARAN
dhvanit	DHVANIT
dhyani	DHYANI
diabetes	DIABETES
dialect	DIALECT
diameter	DIAMETER
diamond	DIAMOND
diarrhea	DIARRHEA
dibang	DIBANG
dibrugarh	DIBRUGARH
dichanthium	DICHANTHIUM
dictionary	DICTIONARY
dido	DIDO
diego	DIEGO
diesel	DIESEL
diet	DIET
diethyl	DIETHYL
digambara	DIGAMBARA
dighe	DIGHE
digish	DIGISH
digital	DIGITAL
diligence	DILIGENCE
dilip	DILIP
dilras	DILRAS
dilshan	DILSHAN
dilwara	DILWARA
dim	DIM
dim/core	DIM/CORE
dima	DIMA
dimapur	DIMAPUR
dina	DINA
dinajpur	DINAJPUR
dinara,	DINARA,
dindigul	DINDIGUL
dindori	DINDORI
dindori,	DINDORI,
dinkar	DINKAR
dinkerao	DINKERAO
dinosaur	DINOSAUR
dioica	DIOICA
dion	DION
dioscorea	DIOSCOREA
diplomacy	DIPLOMACY
dipper	DIPPER
dipterocarpus	DIPTEROCARPUS
diq	DIQ
dir	DIR
direction	DIRECTION
directors	DIRECTORS
disambig	DISAMBIG
disambiguation	DISAMBIGUATION
disaster	DISASTER
disasters	DISASTER +(s)
disclaimer	DISCLAIMER
discoveries	DISCOVERIES
discovery	DISCOVERY
discussion/dated	DISCUSSION/DATED
disease	DISEASE
diseasesdb2	DISEASESDB2
disha	DISHA
disorder	DISORDER
disorders	DISORDER +(s)
display	DISPLAY
dispur	DISPUR
dispute	DISPUTE
dissonance	DISSONANCE
distinguish	DISTINGUISH
distributions	DISTRIBUTIONS
district	DISTRICT
district,	DISTRICT,
districts	DISTRICT +(s)
diu	DIU
div	DIV
divan-ballubhai	DIVAN BALLUBHAI
divas	DIVAS
divbox	DIVBOX
divetia	DIVETIA
diving	DIVING
division	DIVISION
divisions	DIVISION +(s)
divisor	DIVISOR
divya	DIVYA
diwali	DIWALI
diwaliben	DIWALIBEN
diwan	DIWAN
diwas	DIWAS
dixit	DIXIT
diyodar	DIYODAR
djibouti	DJIBOUTI
djokovic	DJOKOVIC
djsasso	DJSASSO
dmitri	DMITRI
dmy	DMY
dnyaneshwar	DNYANESHWAR
dnyaneshwari	DNYANESHWARI
doab	DOAB
doc	DOC
documentation	DOCUMENTATION
documentation/config	DOCUMENTATION/CONFIG
documentation/core	DOCUMENTATION/CORE
documentation/core2	DOCUMENTATION/CORE2
documentation/docname	DOCUMENTATION/DOCNAME
documentation/end	DOCUMENTATION/END
documentation/id2	DOCUMENTATION/ID2
documentation/preload	DOCUMENTATION/PRELOAD
documentation/start	DOCUMENTATION/START
documentation/template	DOCUMENTATION/TEMPLATE
documentation/title	DOCUMENTATION/TITLE
doda	DODA
doddabetta	DODDABETTA
dog	DOG
dogra	DOGRA
dogri	DOGRI
doha	DOHA
doi	DOI
dolarrai	DOLARRAI
dolatpar	DOLATPAR
dollar	DOLLAR
dolls	DOLLS
dolpa	DOLPA
domain	DOMAIN
dome	DOME
domestic	DOMESTIC
dominica	DOMINICA
dominican	DOMINICAN
don	DON
don't	DON'T
donald	DONALD
donation	DONATION
done	DONE
dong	DONG
donor	DONOR
doodhpak	DOODHPAK
dooj	DOOJ
doon	DOON
doon?	DOON?
doordarshan	DOORDARSHAN
doot	DOOT
dorabji	DORABJI
doraemon	DORAEMON
dosa	DOSA
doshi	DOSHI
doti	DOTI
dove	DOVE
down	DOWN
dowry	DOWRY
dragonbot	DRAGONBOT
drama	DRAMA
drang-drung	DRANG DRUNG
drashti	DRASHTI
draupadi	DRAUPADI
dravida	DRAVIDA
draw	DRAW
drenthe	DRENTHE
dried	DRIED
drink	DRINK
drive	DRIVE
dron	DRON
drona	DRONA
drongo	DRONGO
dropped	DROPPED
drought	DROUGHT
drug	DRUG
druhyus	DRUHYUS
drupada	DRUPADA
dsb	DSB
dts	DTS
dubious	DUBIOUS
dubla	DUBLA
dubnium	DUBNIUM
duck	DUCK
dudhaganga	DUDHAGANGA
dudhala	DUDHALA
dudhsagar	DUDHSAGAR
dudík	DUDÍK
dugarwadi	DUGARWADI
duhsala	DUHSALA
dukkadam	DUKKADAM
dula	DULA
dulcis	DULCIS
duleepsinhji	DULEEPSINHJI
dumara,	DUMARA,
dumas	DUMAS
dumka	DUMKA
dumkhal	DUMKHAL
dummytab	DUMMYTAB
dungar	DUNGAR
dungarpur	DUNGARPUR
dungra	DUNGRA
dungri	DUNGRI
duplicate	DUPLICATE
durango	DURANGO
duration	DURATION
durazno	DURAZNO
durg	DURG
durga	DURGA
durgawati	DURGAWATI
duronto	DURONTO
durvasa	DURVASA
duryodhana	DURYODHANA
dushasana	DUSHASANA
dust	DUST
dutch	DUTCH
dutch-language	DUTCH LANGUAGE
dutt	DUTT
dutta	DUTTA
dvapara	DVAPARA
dvija	DVIJA
dw	DW
dwadashi	DWADASHI
dwarka	DWARKA
dwarkadhish	DWARKADHISH
dwitiya	DWITIYA
dwivedi	DWIVEDI
dyal	DYAL
dyas	DYAS
dynamics	DYNAMICS
dynamite	DYNAMITE
dynasties	DYNASTIES
dynasty	DYNASTY
dyslexia	DYSLEXIA
dysprosium	DYSPROSIUM
dzong	DZONG
déjà	DÉJÀ
e-commerce	E COMMERCE
e-dhara	E DHARA
eagle	EAGLE
ear	EAR
early	EARLY
earth	EARTH
earthquake	EARTHQUAKE
east	EAST
eastern	EASTERN
eb1911	EB1911
echinochloa	ECHINOCHLOA
echis	ECHIS
ecohydrology	ECOHYDROLOGY
economic	ECONOMIC
economics	ECONOMIC +(s)
economists	ECONOMISTS
economy	ECONOMY
ecosystem	ECOSYSTEM
ecuador	ECUADOR
ed	ED
eden	EDEN
edgar	EDGAR
edible	EDIBLE
edison	EDISON
edit	EDIT
editathon	EDITATHON
editatwikidata	EDITATWIKIDATA
editing	EDITING
editnotice	EDIT NOTICE
editor's	EDITOR'S
edits	EDIT +(s)
educa33e	EDUCA33E
education	EDUCATION
educational	EDUCATIONAL
educators	EDUCATORS
edward	EDWARD
effective	EFFECTIVE
effects	EFFECTS
effeietsanders	EFFEIETSANDERS
efn	EFN
efn-ua	EFN UA
egg	EGG
eggplant	EGGPLANT
egypt	EGYPT
eid	EID
eiffel	EIFFEL
einstein	EINSTEIN
einsteinium	EINSTEINIUM
eisenberg	EISENBERG
either	EITHER
eivindgh	EIVINDGH
ejaculation	EJACULATION
ek	EK
ekadashi	EKADASHI
ekalavya	EKALAVYA
ekanamsha	EKANAMSHA
ekka	EKKA
eklingji	EKLINGJI
eknath	EKNATH
el	EL
ela	ELA
election	ELECTION
election/row	ELECTION/ROW
election/shortname	ELECTION/SHORTNAME
electors	ELECTORS
electric	ELECTRIC
electrolysis	ELECTROLYSIS
electromagnetic	ELECTROMAGNETIC
electromyography	ELECTROMYOGRAPHY
electron	ELECTRON
electronvolt	ELECTRONVOLT
electroplating	ELECTROPLATING
element	ELEMENT
elementary	ELEMENTARY
elements	ELEMENT +(s)
eleocharis	ELEOCHARIS
elephant	ELEPHANT
elephanta	ELEPHANTA
eleusine	ELEUSINE
elevator	ELEVATOR
eleven	ELEVEN
eliminated	ELIMINATED
elizabeth	ELIZABETH
ell2	ELL2
elland	ELLAND
ellioti	ELLIOTI
elliptica	ELLIPTICA
ellis	ELLIS
ellison	ELLISON
ellora	ELLORA
elon	ELON
eluru	ELURU
em	EM
emacs	EMACS
email	EMAIL
emausbot	EMAUSBOT
embassy	EMBASSY
emblem	EMBLEM
emblems	EMBLEM +(s)
emblica	EMBLICA
eme	EME
emergency	EMERGENCY
emergency-bot-shutoff	EMERGENCY BOT SHUTOFF
emijrp/list	EMIJRP/LIST
emission	EMISSION
emperors	EMPERORS
empire	EMPIRE
empiricism	EMPIRICISM
employment	EMPLOYMENT
empty	EMPTY
emptyor	EMPTYOR
emu	EMU
en	EN
en-2	EN 2
en-3	EN 3
en-4	EN 4
en-gb	EN GB
en-in	EN IN
en-n	EN N
en-us-4	EN US 4
encode	ENCODE
encyclopaedia	ENCYCLOPAEDIA
encyclopedia	ENCYCLOPEDIA
encyclopedias	ENCYCLOPEDIA +(s)
encyclopædia	ENCYCLOPÆDIA
end	END
endangered	ENDANGERED
endflowlist	ENDFLOWLIST
endswith	ENDSWITH
energy	ENERGY
engels	ENGELS
engine	ENGINE
engineer	ENGINEER
engineering	ENGINEERING
engineering,	ENGINEERING,
engines	ENGINE +(s)
england	ENGLAND
english	ENGLISH
english-language	ENGLISH LANGUAGE
enron	ENRON
ensure	ENSURE
entertainment	ENTERTAINMENT
entity	ENTITY
entomology	ENTOMOLOGY
entrepreneurship	ENTREPRENEURSHIP
entries	ENTRIES
entry	ENTRY
enum	ENUM
environment	ENVIRONMENT
environmental	ENVIRONMENTAL
eo	EO
ephedrine	EPHEDRINE
epilepsy	EPILEPSY
episode	EPISODE
equality	EQUALITY
equatorial	EQUATORIAL
equinox	EQUINOX
era	ERA
erbium	ERBIUM
erdemaslancan	ERDEMASLANCAN
erection	ERECTION
eric	ERIC
eritrea	ERITREA
erkan	ERKAN
ernakulam	ERNAKULAM
erode	ERODE
erp	ERP
error	ERROR
error-small	ERROR SMALL
errors	ERROR +(s)
erythrina	ERYTHRINA
eryx	ERYX
es	ES
es-1	ES 1
escarbot	ESCARBOT
eschatology	ESCHATOLOGY
escher	ESCHER
esculenta	ESCULENTA
esha	ESHA
esotericism	ESOTERICISM
essar	ESSAR
esselworld	ESSELWORLD
esther	ESTHER
estimation	ESTIMATION
estonia	ESTONIA
estonian	ESTONIAN
eswatini	ESWATINI
etah	ETAH
etawah	ETAWAH
ethane	ETHANE
ethanol	ETHANOL
ether	ETHER
ethernet	ETHERNET
ethics	ETHICS
ethiopia	ETHIOPIA
ethiopian	ETHIOPIAN
ethiopic	ETHIOPIC
ethipothala	ETHIPOTHALA
ethnic	ETHNIC
ethnologue16	ETHNOLOGUE16
ethnologue19	ETHNOLOGUE19
ethylene	ETHYLENE
etiolation	ETIOLATION
eucalyptus	EUCALYPTUS
euclid	EUCLID
eudynamys	EUDYNAMYS
euindex	EUINDEX
euphemism	EUPHEMISM
euphemisms	EUPHEMISM +(s)
eurasia	EURASIA
eurasian	EURASIAN
euro	EURO
europe	EUROPE
europium	EUROPIUM
eustatius	EUSTATIUS
euthanasia	EUTHANASIA
eva	EVA
eve	EVE
event	EVENT
events	EVENT +(s)
everest	EVEREST
everton	EVERTON
evolution	EVOLUTION
ewood	EWOOD
example	EXAMPLE
excel	EXCEL
exchange	EXCHANGE
exchanges	EXCHANGE +(s)
exclamation	EXCLAMATION
exclusion	EXCLUSION
execution	EXECUTION
exercise	EXERCISE
exorcism	EXORCISM
expand	EXPAND
expanded	EXPANDED
experiment	EXPERIMENT
experiments	EXPERIMENT +(s)
expiry	EXPIRY
explanation	EXPLANATION
exploration	EXPLORATION
expo	EXPO
express	EXPRESS
expressways	EXPRESSWAYS
external	EXTERNAL
extinction	EXTINCTION
extract	EXTRACT
extract/in	EXTRACT/IN
extraterrestrial	EXTRATERRESTRIAL
eye	EYE
ezra	EZRA
f.	F.
f.c.	F.C.
f1	F1
fa	FA
facebook	FACEBOOK
factbook	FACTBOOK
fadesga	FADESGA
fagani	FAGANI
fagu	FAGU
fahmida	FAHMIDA
failed	FAILED
failure	FAILURE
fair	FAIR
faizabad	FAIZABAD
fajrbot	FAJRBOT
fake	FAKE
falaknuma	FALAKNUMA
falguni	FALGUNI
falkland	FALKLAND
falls	FALLS
falooda	FALOODA
family	FAMILY
famine	FAMINE
fantail	FANTAIL
faq	FAQ
fareda	FAREDA
faridabad	FARIDABAD
faridkot	FARIDKOT
faridkot,	FARIDKOT,
fariduddin	FARIDUDDIN
farm	FARM
farming	FARMING
faroe	FAROE
farokh	FAROKH
farrukhabad	FARRUKHABAD
farsan	FARSAN
fashion	FASHION
faso	FASO
fast	FAST
fasting	FASTING
fat	FAT
fateh	FATEH
fatehgadh	FATEHGADH
fatehgarh	FATEHGARH
fatehpur	FATEHPUR
fatehpur,	FATEHPUR,
father	FATHER
fatima	FATIMA
fatsar	FATSAR
fauna	FAUNA
fb	FB
fb-big	FB BIG
fc	FC
fdw	FDW
featured	FEATURED
february	FEBRUARY
fedara	FEDARA
federal	FEDERAL
federated	FEDERATED
federation	FEDERATION
federative	FEDERATIVE
federer	FEDERER
fedex	FEDEX
fei	FEI
feluda	FELUDA
female	FEMALE
feng	FENG
fennel	FENNEL
fenugreek	FENUGREEK
ferguson	FERGUSON
fermium	FERMIUM
feroze	FEROZE
fertilisers	FERTILISERS
festivals	FESTIVALS
fever	FEVER
ffd	FFD
fi	FI
fibonacci	FIBONACCI
fiction	FICTION
fictional	FICTIONAL
ficus	FICUS
fidel	FIDEL
field	FIELD
fifa	FIFA
fig	FIG
figures	FIGURES
figures/rnd	FIGURES/RND
fiji	FIJI
file	FILE
files	FILE +(s)
filipino	FILIPINO
film	FILM
filmfare	FILMFARE
films	FILM +(s)
filter	FILTER
finance	FINANCE
financial	FINANCIAL
find0	FIND0
finger	FINGER
finland	FINLAND
fiorentina	FIORENTINA
firangi	FIRANGI
fire	FIRE
firearms	FIRE ARMS
firefly	FIREFLY
firibot	FIRIBOT
firozpur	FIROZPUR
first	FIRST
first-person	FIRST PERSON
firsts	FIRST +(s)
fiscal	FISCAL
fish	FISH
fishing	FISHING
fistula	FISTULA
five	FIVE
flag	FLAG
flag/core	FLAG/CORE
flagbio	FLAGBIO
flagdeco	FLAGDECO
flagdeco/core	FLAGDECO/CORE
flagicon	FLAG ICON
flagicon/core	FLAGICON/CORE
flagioc2	FLAGIOC2
flags	FLAG +(s)
flameback	FLAMEBACK
flamingo	FLAMINGO
flammability	FLAMMABILITY
flanders	FLANDERS
flash	FLASH
flatlist	FLATLIST
flatlist/microformat	FLATLIST/MICROFORMAT
flattened	FLATTENED
flax	FLAX
fleming	FLEMING
flemish	FLEMISH
flevoland	FLEVOLAND
flight	FLIGHT
flood	FLOOD
florida	FLORIDA
flower	FLOWER
flowers	FLOWER +(s)
flowlist	FLOWLIST
floyd	FLOYD
flu	FLU
fluorine	FLUORINE
flycatcher	FLYCATCHER
flying	FLYING
fmbox	FMBOX
fodder	FODDER
fog	FOG
folk	FOLK
font	FONT
food	FOOD
foods	FOOD +(s)
fools'	FOOLS'
football	FOOTBALL
footer	FOOTER
footer/tracking	FOOTER/TRACKING
footnotes	FOOTNOTES
for	FOR
forbes	FORBES
force	FORCE
force/core	FORCE/CORE
ford	FORD
foreign	FOREIGN
forest	FOREST
forests	FOREST +(s)
format	FORMAT
formatnum	FORMATNUM
former	FORMER
forms	FORMS
fort	FORT
fort,	FORT,
forts	FORT +(s)
forum	FORUM
fossil	FOSSIL
fotu	FOTU
foundation	FOUNDATION
fourier	FOURIER
fox	FOX
foxbot	FOXBOT
foxie001	FOXIE001
fr	FR
fr-n	FR N
fra	FRA
fracture	FRACTURE
france	FRANCE
franchise	FRANCHISE
franchising	FRANCHISING
francis	FRANCIS
francisco	FRANCISCO
francium	FRANCIUM
francolin	FRANCOLIN
frank	FRANK
frank5308000	FRANK5308000
frankfurt	FRANKFURT
franz	FRANZ
freddie	FREDDIE
frederick	FREDERICK
free	FREE
freelandgunj	FREELANDGUNJ
french-language	FRENCH LANGUAGE
friday	FRIDAY
friesland	FRIESLAND
from	FROM
front/meta/color	FRONT/META/COLOR
fruit	FRUIT
frumentacea	FRUMENTACEA
fuel	FUEL
fulay,	FULAY,
fulka	FULKA
fulki	FULKI
full	FULL
fullbasepagename	FULL BASE PAGE NAME
fullerene	FULLERENE
fullrootpagename	FULL ROOT PAGE NAME
functions	FUNCTIONS
fund	FUND
fundamental	FUNDAMENTAL
furniture	FURNITURE
fuski	FUSKI
g.	G.
gabon	GABON
gabriel	GABRIEL
gada	GADA
gadag	GADAG
gadag-betageri	GADAG BETAGERI
gadchiroli	GADCHIROLI
gaddafi	GADDAFI
gadhada	GADHADA
gadhakda	GADHAKDA
gadhavi	GADHAVI
gadhia,	GADHIA,
gadhvi	GADHVI
gadit	GADIT
gadolinium	GADOLINIUM
gaekwad	GAEKWAD
gaekwar's	GAEKWAR'S
gag	GAG
gaga	GAGA
gagan	GAGAN
gagodar	GAGODAR
gagron	GAGRON
gain	GAIN
gajah	GAJAH
gajana	GAJANA
gajansar	GAJANSAR
gajanvav	GAJANVAV
gajapati	GAJAPATI
gajender	GAJENDER
galilei	GALILEI
galileo	GALILEO
gallbladder	GALLBLADDER
galle	GALLE
gallery	GALLERY
gallery/aux	GALLERY/AUX
galliformes	GALLIFORMES
gallium	GALLIUM
galpadar	GALPADAR
galteshwar	GALTESHWAR
gama	GAMA
gambhir	GAMBHIR
gambia	GAMBIA
gambling	GAMBLING
game	GAME
games	GAME +(s)
gamgul	GAMGUL
gamit	GAMIT
gana	GANA
ganadhara	GANA DHARA
ganatra	GANATRA
gandaki	GANDAKI
gandevi	GANDEVI
gandhara	GANDHARA
gandharpale	GANDHARPALE
gandhi	GANDHI
gandhidham	GANDHI DHAM
gandhidham–palanpur	GANDHIDHAM–PALANPUR
gandhinagar	GANDHI NAGAR
ganesan	GANESAN
ganesh	GANESH
ganesha	GANESHA
gang	GANG
ganga	GANGA
gangadhar	GANGA DHAR
gangadharpur	GANGADHARPUR
ganganagar	GANGA NAGAR
gangasati	GANGASATI
ganges	GANGES
gangleri	GANGLERI
gangotri	GANGOTRI
gangster	GANGSTER
gangtok	GANGTOK
gangubai	GANGUBAI
ganj	GANJ
ganjam	GANJAM
ganjawala	GANJAWALA
ganjshakar	GANJSHAKAR
ganpat	GANPAT
ganpatsinh	GANPATSINH
ganthiya	GANTHIYA
gaps	GAPS
garam	GARAM
garba	GARBA
garcinia	GARCINIA
garden	GARDEN
gardens	GARDEN +(s)
garga	GARGA
gargi	GARGI
garhwa	GARHWA
garhwal	GARHWAL
garhwali	GARHWALI
gariadhar	GARIADHAR
garibaldi	GARIBALDI
garjiya	GARJIYA
garlic	GARLIC
garo	GARO
gary	GARY
gas	GAS
gate	GATE
gates	GATE +(s)
gateway	GATEWAY
gaudio	GAUDIO
gaudiya	GAUDIYA
gauge	GAUGE
gauge/data	GAUGE/DATA
gauge/extra	GAUGE/EXTRA
gaurav	GAURAV
gauri	GAURI
gauriganj,	GAURIGANJ,
