!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
ડિસેમ્બર	ડિસેમ્બર
ડિસ્કવરી	ડિસ્કવરી
ડિસ્ટ્રિક્ટ	ડિસ્ટ્રિક્ટ
ડિસ્ટ્રીબ્યુશન્સની	ડિસ્ટ્રીબ્યુશન્સની
ડિસ્પ્લે	ડિસ્પ્લે
ડિસ્લેક્સીયા	ડિસ્લેક્સીયા
ડી	ડી
ડી.	ડી.
ડીઝલ	ડીઝલ
ડીડી	ડીડી
ડીયોન	ડીયોન
ડીસા	ડીસા
ડીસ્પ્રોસીયમ	ડીસ્પ્રોસીયમ
ડુંગર	ડુંગર
ડુંગર,	ડુંગર,
ડુંગરપુર	ડુંગરપુર
ડુંગરા	ડુંગરા
ડુંગરી	ડુંગર +(ી)
ડુંગળી	ડુંગળી
ડુબકી	ડુબકી
ડુમખલ	ડુમખલ
ડુમરા	ડુમરા
ડુમસ	ડુમસ
ડૂબનીયમ	ડૂબનીયમ
ડે	ડે
ડેક્કન	ડેક્કન
ડેઝા	ડેઝા
ડેટા	ડેટા
ડેટાબેઝ	ડેટાબેઝ
ડેડમાઉસ	ડેડમાઉસ
ડેડીયાપાડા	ડેડીયાપાડા
ડેથલી	ડેથલી
ડેનમાર્કનો	ડેનમાર્કનો
ડેનિસ	ડેનિસ
ડેની	ડેની
ડેન્ગ્યુ	ડેન્ગ્યુ
ડેન્ઝોંગ્પા	ડેન્ઝોંગ્પા
ડેબિયન	ડેબિયન
ડેમ	ડેમ
ડેમી	ડેમ +(ી)
ડેરી	ડેરી
ડેલહાઉઝી	ડેલહાઉઝી
ડેલ્ટા	ડેલ્ટા
ડેલ્ફી	ડેલ્ફી
ડેવિડ	ડેવિડ
ડેવી	ડેવી
ડૉ.	ડૉ.
ડૉ.કમલા	ડૉ.કમલા
ડૉંગ	ડૉંગ
ડો.	ડો.
ડોઈવાલા	ડોઈવાલા
ડોગરા	ડોગરા
ડોગરી	ડોગરી
ડોટી	ડોટી
ડોડા	ડોડા
ડોડાબેટ્ટા	ડોડાબેટ્ટા
ડોન	ડોન
ડોનાલ્ડ	ડોનાલ્ડ
ડોમ	ડોમ
ડોમિનિકન	ડોમિનિકન
ડોમિનિકાનો	ડોમિનિકાનો
ડોમેન	ડોમેન
ડોરેમોન	ડોરેમોન
ડોલર	ડોલર
ડોલરરાય	ડોલરરાય
ડ્રાઇવ	ડ્રાઇવ
ડ્રેગનફ્રુટ	ડ્રેગનફ્રુટ
ઢળતો	ઢળતો
ઢાંક	ઢાંક
ઢાંકી	ઢાંક +(ી)
ઢાંચા	ઢાંચા
ઢાંચાઓ	ઢાંચાઓ
ઢાંચો	ઢાંચો
ઢાકા	ઢાકા
ઢાઢર	ઢાઢર
ઢાબા	ઢાબા
ઢાલપૂચ્છ	ઢાલપૂચ્છ
ઢીંગલી	ઢીંગલી
ઢીમા	ઢીમા
ઢેબર	ઢેબર
ઢોંક	ઢોંક
ઢોકળાં	ઢોકળાં
ઢોલ	ઢોલ
ઢોલા	ઢોલા
ઢોસા	ઢોસા
તંજાવુર	તંજાવુર
તંત્ર	તંત્ર
તક	તક
તકનીક	તકનીક
તકમરિયાં	તકમરિયાં
તકાકિ	તકાકિ
તખતગઢ	તખતગઢ
તખ્ત	તખ્ત
તખ્તેબહી	તખ્તેબહી
તજ	તજ
તટ	તટ
તત્ત્વ	તત્ત્વ
તત્વજ્ઞાન	તત્વજ્ઞાન
તત્વાર્થ	તત્વાર્થ
તત્વો	તત્વો
તનહઊ	તનહઊ
તનુશ્રી	તનુશ્રી
તન્વર	તન્વર
તપન	તપન
તપાસની	તપાસની
તબલા	તબલા
તમલુક	તમલુક
તમસા	તમસા
તમાકુ	તમાકુ
તમિલ	તમિલ
તમિલનાડુ	તમિલનાડુ
તમિલનાડુના	તમિલનાડુ +(ના)
તમિલનાડુનો	તમિલનાડુનો
તમિલેરુ	તમિલેરુ
તમેન્ગલોન્ગ	તમેન્ગલોન્ગ
તરંગલંબાઈ	તરંગલંબાઈ
તરંગો	તરંગો
તરણેતર	તરણેતર
તરન	તરન
તરબૂચ	તરબૂચ
તરલા	તરલા
તરસાડી	તરસાડી
તરસાડીયા	તરસાડીયા
તરસાલી	તરસાલી
તર્ક	તર્ક
તર્જની	તર્જની
તલ	તલ
તલવાણા	તલવાણા
તલવાર	તલવાર
તલાટી	તલાટી
તલાશ	તલાશ
તલીયારા	તલીયારા
તલોદ	તલોદ
તળાજા	તળાજા
તળાવ	તળાવ
તળાવ,	તળાવ,
તળે	તળે
તળોદા	તળોદા
તવા	તવા
તવાંગ	તવાંગ
તવી	તવી
તહર્રૂશ	તહર્રૂશ
તહેવાર	તહેવાર
તહેવારો	તહેવાર +(ો)
તાંગ્ગુલા	તાંગ્ગુલા
તાંડવ	તાંડવ
તાંબુ	તાંબુ
તાઈ	તાઈ
તાઈકવૉન્દો	તાઈકવૉન્દો
તાઓ	તાઓ
તાજ	તાજ
તાજિકિસ્તાન	તાજિકિસ્તાન
તાડ	તાડ
તાડકા	તાડકા
તાતા	તાતા
તાત્યો	તાત્યો
તાનસેન	તાનસેન
તાન્સા	તાન્સા
તાપ	તાપ
તાપમાન	તાપમાન
તાપી	તાપ +(ી)
તાબો,	તાબો,
તામડા	તામડા
તામિલનાડુમાં	તામિલનાડુમાં
તારંગા	તારંગા
તારક	તારક
તારણ	તારણ
તારણપંથ	તારણપંથ
તારન	તારન
તારા	તારા
તારાઓ	તારાઓ
તારાગઢ	તારાગઢ
તારાપુર	તારાપુર
તારાપોર	તારાપોર
તારાપોરવાલા	તારાપોરવાલા
તારાબાઈ	તારાબાઈ
તારો	તારો
તાલ	તાલ
તાલકટોરા	તાલકટોરા
તાલાલા	તાલાલા
તાલિબાન	તાલિબાન
તાલિબાનનું	તાલિબાનનું
તાલિમ	તાલિમ
તાલીપેરુ	તાલીપેરુ
તાલુકા	તાલુકા
તાલુકાઓ	તાલુકાઓ
તાલુકો	તાલુકો
તાળું	તાળું
તાવ	તાવ
તાવી	તાવ +(ી)
તાશ્કંદ	તાશ્કંદ
તાસ્માન	તાસ્માન
તિથલ	તિથલ
તિથિ	તિથિ
તિનાઉ	તિનાઉ
તિબેટ	તિબેટ
તિમણ	તિમણ
તિમોર	તિમોર
તિમોરનો	તિમોરનો
તિરપ	તિરપ
તિરહુત	તિરહુત
તિરુનેલવેલી	તિરુનેલવેલી
તિરુપતિ	તિરુપતિ
તિરુપતી	તિરુપતી
તિરુવનંતપુરમ્	તિરુવનંતપુરમ્
તિરુવનામલઇ	તિરુવનામલઇ
તિરુવરુર	તિરુવરુર
તિરુવલ્લુર	તિરુવલ્લુર
તિર્કિ	તિર્કિ
તિલક	તિલક
તિલકરત્ને	તિલકરત્ને
તિલોત્તમા	તિલોત્તમા
તિવારી	તિવારી
તિસ્તા	તિસ્તા
તીતર	તીતર
તીરથગઢ	તીરથગઢ
તીર્થ	તીર્થ
તીર્થંકર	તીર્થંકર
તુંગનાથ	તુંગનાથ
તુકારામ	તુકારામ
તુઘલક	તુઘલક
તુણા	તુણા
તુમકુર	તુમકુર
તુમ્બાડ	તુમ્બાડ
તુર્કમેનિસ્તાન	તુર્કમેનિસ્તાન
તુર્કસ્તાન	તુર્કસ્તાન
તુર્કિશ	તુર્કિશ
તુલસી	તુલસી
તુલસીદાસ	તુલસીદાસ
તુલસીશ્યામ	તુલસી શ્યામ
તુલા	તુલા
તુવેર	તુવેર
તુસાદ	તુસાદ
તૂટી	તૂટી
તૃશ્શૂર	તૃશ્શૂર
તે	તે
તેંડુલકર	તેંડુલકર
તેજગઢ	તેજગઢ
તેજસ	તેજસ
તેજસ્વી	તેજસ્વી
તેજારા	તેજારા
તેજી	તેજી
તેઝુ	તેઝુ
તેના	તેના
તેમનો	તેમનો
તેરવાડા	તેરવાડા
તેરસ	તેરસ
તેરા	તેરા
તેલ	તેલ
તેલંગાણા	તેલંગાણા
તેલનાર	તેલનાર
તેલનું	તેલનું
તેલીનીલાપુરમ	તેલીનીલાપુરમ
તેલુકુંચી	તેલુકુંચી
તેલુગુ	તેલુગુ
તેહરી	તેહરી
તૈયબજી	તૈયબજી
તૈયાર	તૈયાર
તો	તો
તોમ	તોમ
તોરખાન	તોરખાન
તોરણમાળ	તોરણમાળ
તોરણે	તોરણે
તોષ,	તોષ,
તૌરાત	તૌરાત
ત્યાગરાજ	ત્યાગરાજ
ત્રંબકેશ્વર	ત્રંબકેશ્વર
ત્રણ	ત્રણ
ત્રિકોણ	ત્રિકોણ
ત્રિકોણમિતિ	ત્રિકોણમિતિ
ત્રિજટા	ત્રિજટા
ત્રિજ્યા	ત્રિજ્યા
ત્રિપાઠી	ત્રિપાઠી
ત્રિપિટક	ત્રિપિટક
ત્રિપુરા	ત્રિપુરા
ત્રિભુવનભાઇ	ત્રિભુવનભાઇ
ત્રિયુગી	ત્રિયુગી
ત્રિવેણી	ત્રિવેણી
ત્રિવેદી	ત્રિવેદી
ત્રિશૂલ	ત્રિશૂલ
ત્રિશ્શૂર	ત્રિશ્શૂર
ત્રીજ	ત્રીજ
ત્રીજા	ત્રીજા
ત્રીજી	ત્રીજ +(ી)
ત્રીજું	ત્રીજું
ત્રેતાયુગ	ત્રેતાયુગ
ત્રૈકુટક	ત્રૈકુટક
ત્ર્યંબકેશ્વર	ત્ર્યંબકેશ્વર
ત્સરાપ	ત્સરાપ
થંજાવુર	થંજાવુર
થઇ	થઇ
થડચડ	થડચડ
થડા	થડા
થતા	થતા
થનગાટ	થનગાટ
થરા	થરા
થરાદ	થરાદ
થલતેજ	થલતેજ
થવું	થવું
થાઇલેન્ડ	થાઇલેન્ડ
થાઇલેન્ડનો	થાઇલેન્ડનો
થાઈલેન્ડ	થાઈલેન્ડ
થાણા	થાણા
થાનગઢ	થાનગઢ
થાપા	થાપા
થાય	થાય
થાળ	થાળ
થાળી	થાળ +(ી)
થિઓડોર	થિઓડોર
થિમ્ફુ	થિમ્ફુ
થીમ	થીમ
થુંગા	થુંગા
થુમ્બા	થુમ્બા
થુલિયમ	થુલિયમ
થેની	થેની
થેપલા	થેપલા
થેફ્ટ	થેફ્ટ
થેલીયમ	થેલીયમ
થૉમસ	થૉમસ
થોટુપોલા	થોટુપોલા
થોર	થોર
થોરડી	થોરડી
થોરીયમ	થોરીયમ
થૌબલ	થૌબલ
થ્રશ	થ્રશ
થ્રેશિંગ	થ્રેશિંગ
થ્રોન્સ	થ્રોન્સ
દ	દ
દંડ	દંડ
દંતેવાડા	દંતેવાડા
દક્ષા	દક્ષા
દક્ષિણ	દક્ષિણ
દક્ષિણા	દક્ષિણા
દગડ	દગડ
દગડી	દગડ +(ી)
દડો	દડો
દતિયા	દતિયા
દત્ત	દત્ત
દત્તા	દત્તા
દત્તાત્રેય	દત્તાત્રેય
દદેલધુરા	દદેલધુરા
દમણ	દમણ
દમણગંગા	દમણગંગા
દયાદરા	દયાદરા
દયાનંદ	દયાનંદ
દયારામ	દયારામ
દયાલ	દયાલ
દર	દર
દરજી	દરજી
દરજીડો	દરજીડો
દરજ્જો	દરજ્જો
દરભંગા	દરભંગા
દરમિયાન	દરમિયાન
દરવાજા	દરવાજા
દરિયાઇખાડી	દરિયાઇખાડી
દરિયાઈ	દરિયાઈ
દરિયાકિનારો	દરિયાકિનારો
દરિયાતટ	દરિયાતટ
દરિયાપુર	દરિયાપુર
દરીયાઈ	દરીયાઈ
દરેક	દરેક
દર્રાહ	દર્રાહ
દર્શન	દર્શન
દર્શના	દર્શન +(ના)
દલપતભાઈ	દલપતભાઈ
દલપતરામ	દલપતરામ
દલાલ	દલાલ
દલિત	દલિત
દલીચંદ	દલીચંદ
દળ	દળ
દવે	દવે
દશમ	દશમ
દશરથ	દશરથ
દશાંશ	દશાંશ
દશાવતાર	દશાવતાર
દશેરા	દશેરા
દસાડી	દસાડી
દસ્ક્રોઇ	દસ્ક્રોઇ
દહનશીલતા	દહનશીલતા
દહાણુ	દહાણુ
દહીં	દહીં
દહીંવાલા	દહીંવાલા
દહીંસર	દહીંસર
દહીડા	દહીડા
દહીપૂરી	દહીપૂરી
દહેગામ	દહેગામ
દહેજ	દહેજ
દહેરાદૂન	દહેરાદૂન
દહેલવી	દહેલવી
દાંગ	દાંગ
દાંડી	દાંડી
દાંતનું	દાંતનું
દાંતનો	દાંતનો
દાંતા	દાંતા
દાંતીવાડા	દાંતીવાડા
દાચીગામ	દાચીગામ
દાઢી	દાઢી
દાણીધાર	દાણીધાર
દાતરડું	દાતરડું
દાત્રાણા	દાત્રાણા
દાદરા	દાદરા
દાદરા,	દાદરા,
દાદા	દાદા
દાદાભાઈ	દાદાભાઈ
દાદાવાળા	દાદા વાળા
દાદાસાહેબ	દાદા સાહેબ
દાદૂ	દાદૂ
દાન	દાન
દાનીયેલ	દાનીયેલ
દાબેલી	દાબેલી
દાભોસા	દાભોસા
દામાણી	દામાણી
દામોદર	દામોદર
દામોદરન	દામોદરન
દામોહ	દામોહ
દાયકો	દાયકો
દાયણ	દાયણ
દારચુલા	દારચુલા
દારમા	દારમા
દારાંગ	દારાંગ
દારૂલ	દારૂલ
દાર્જિલિંગ	દાર્જિલિંગ
દાર્જીલીંગ	દાર્જીલીંગ
દાલ	દાલ
દાળ	દાળ
દાવકી,	દાવકી,
દાવનગિરી	દાવનગિરી
દાવર	દાવર
દાશરાજ્ઞ	દાશરાજ્ઞ
દાસ	દાસ
દાહ	દાહ
દાહિર	દાહિર
દાહોદ	દાહોદ
દિંડીગુલ	દિંડીગુલ
દિક્ષીત	દિક્ષીત
દિગંબર	દિગંબર
દિગીશ	દિગીશ
દિગ્દર્શકો	દિગ્દર્શકો
દિઘે	દિઘે
દિન	દિન
દિનકર	દિનકર
દિનાજપુર	દિનાજપુર
દિપક	દિપક
દિપડો	દિપડો
દિબાંગ	દિબાંગ
દિબ્રુગઢ	દિબ્રુગઢ
દિમા	દિમા
દિયાસ	દિયાસ
દિયોદર	દિયોદર
દિલરાસ	દિલરાસ
દિલશાન	દિલશાન
દિલિપ	દિલિપ
દિલીપ	દિલીપ
દિલ્હી	દિલ્હી
દિલ્હીના	દિલ્હી +(ના)
દિલ્હીનો	દિલ્હીનો
દિવસ	દિવસ
દિવસો	દિવસ +(ો)
દિવાન	દિવાન
દિવાળી	દિવાળી
દિવાળીબેન	દિવાળીબેન
દિવેટિયા	દિવેટિયા
દિવેલ	દિવેલ
દિવેલી	દિવેલ +(ી)
દિવ્ય	દિવ્ય
દિશા	દિશા
દિશાઓ	દિશાઓ
દિસપુર	દિસપુર
દીક્ષાભૂમિ	દીક્ષાભૂમિ
દીક્ષિત	દીક્ષિત
દીદાત	દીદાત
દીનદયાલ	દીનદયાલ
દીનદયાળ	દીનદયાળ
દીના	દીના
દીનારા	દીનારા
દીપિકા	દીપિકા
દીમાપૂર	દીમાપૂર
દીવ	દીવ
દીવાદાંડી	દીવાદાંડી
દીવાન	દીવાન
દીવાલ	દીવાલ
દું?	દું?
દુઃશાસન	દુઃશાસન
દુકાળ	દુકાળ
દુક્કડં	દુક્કડં
દુખાવો	દુખાવો
દુગારવાડી	દુગારવાડી
દુધગંગા	દુધગંગા
દુધસાગર	દુધસાગર
દુધાળા	દુધાળા
દુન	દુન
દુનિયાની	દુનિયાની
દુબઈ	દુબઈ
દુમકા	દુમકા
દુરંતો	દુરંતો
દુર્ગ	દુર્ગ
દુર્ગા	દુર્ગા
દુર્ગાવતી	દુર્ગાવતી
દુર્યોધન	દુર્યોધન
દુર્વાસા	દુર્વાસા
દુલા	દુલા
દુલિપસિંહજી	દુલિપસિંહજી
દુશલા	દુશલા
દુષ્કાળ	દુષ્કાળ
દૂત	દૂત
દૂતાવાસ	દૂતાવાસ
દૂધ	દૂધ
દૂધપાક	દૂધપાક
દૂધરાજ	દૂધરાજ
દૂધસાગર	દૂધસાગર
દૂધી	દૂધ +(ી)
દૂરદર્શન	દૂરદર્શન
દૂરબીન	દૂરબીન
દૂરસંચાર	દૂરસંચાર
દૃષ્ટિકોણ	દૃષ્ટિકોણ
દે	દે
દેગામ	દેગામ
દેત્રોજ	દેત્રોજ
દેત્રોજ-રામપુરા	દેત્રોજ રામપુરા
દેનપસાર	દેનપસાર
દેબ્સા	દેબ્સા
દેરા	દેરા
દેરોલ	દેરોલ
દેલવાડા	દેલવાડા
દેવ	દેવ
દેવકુંડ	દેવકુંડ
દેવગઢ	દેવગઢ
દેવગઢબારિયા	દેવગઢબારિયા
દેવચકલી	દેવચકલી
દેવતા	દેવતા
દેવતાઓ	દેવતાઓ
દેવધર	દેવધર
દેવનાગરી	દેવનાગરી
દેવબંદ	દેવબંદ
દેવભૂમિ	દેવભૂમિ
દેવરાજીયા	દેવરાજીયા
દેવરિયા	દેવરિયા
દેવરી	દેવરી
દેવળ	દેવળ
દેવળા	દેવળા
દેવળીયા	દેવળીયા
દેવસર	દેવસર
દેવાંગ	દેવાંગ
દેવાનંદ	દેવાનંદ
દેવાયત	દેવાયત
દેવાસ	દેવાસ
દેવી	દેવ +(ી)
દેવી,	દેવી,
દેવીકુલમ,	દેવીકુલમ,
દેવીપાટન	દેવીપાટન
દેવીપુજક	દેવીપુજક
દેવેન	દેવેન
દેવેન્દ્ર	દેવેન્દ્ર
દેવૈઆ	દેવૈઆ
દેશ	દેશ
દેશમુખ	દેશમુખ
દેશલપર	દેશલપર
દેશી	દેશ +(ી)
દેશો	દેશ +(ો)
દેશોના	દેશ +(ો) +(ના)
દેશોની	દેશોની
દેસાઇ	દેસાઇ
દેસાઈ	દેસાઈ
દેહરાદૂન	દેહરાદૂન
દેહાંતદંડ	દેહાંતદંડ
દેહાત	દેહાત
દૈનિક	દૈનિક
દૈયડ	દૈયડ
દૈલેખ	દૈલેખ
દોઆબ	દોઆબ
દોડવીર	દોડવીર
દોરાબજી	દોરાબજી
દોલતપર	દોલતપર
દોલપા	દોલપા
દોશી	દોશી
દોહા	દોહા
દૌસા	દૌસા
દ્રવ્યમાન	દ્રવ્યમાન
દ્રષ્ટિ	દ્રષ્ટિ
દ્રાંગ	દ્રાંગ
દ્રાક્ષ	દ્રાક્ષ
દ્રુંગ	દ્રુંગ
દ્રુપદ	દ્રુપદ
દ્રુહ્યુ	દ્રુહ્યુ
દ્રોણ	દ્રોણ
દ્રૌપદી	દ્રૌપદી
દ્વાપરયુગ	દ્વાપરયુગ
દ્વારકા	દ્વારકા
દ્વારકાધીશ	દ્વારકાધીશ
દ્વિજ	દ્વિજ
દ્વિતીય	દ્વિતીય
દ્વિનામી	દ્વિનામી
દ્વિપ	દ્વિપ
દ્વિપસમૂહ	દ્વિપસમૂહ
દ્વિવેદી	દ્વિવેદી
દ્વિસંગી	દ્વિસંગી
દ્વીપ	દ્વીપ
દ્વીપસમૂહ	દ્વીપ સમૂહ
ધ	ધ
ધંધુકા	ધંધુકા
ધન	ધન
ધનબાદ	ધનબાદ
ધનસુખલાલ	ધનસુખલાલ
ધનસુરા	ધનસુરા
ધની	ધની
ધનુ	ધનુ
ધનેડાં	ધનેડાં
ધનૌલ્ટી	ધનૌલ્ટી
ધમતરી	ધમતરી
ધમ્મ	ધમ્મ
ધરણગાંવ	ધરણગાંવ
ધરતીકંપ	ધરતીકંપ
ધરમપુર	ધરમપુર
ધરાવતા	ધરાવતા
ધરાવતી	ધરાવતી
ધરો	ધરો
ધરોઈ	ધરોઈ
ધરોહર	ધરોહર
ધર્મ	ધર્મ
ધર્મકુમારસિંહજી	ધર્મકુમારસિંહજી
ધર્મગ્રંથો	ધર્મ ગ્રંથ +(ો)
ધર્મજ	ધર્મજ
ધર્મના	ધર્મ +(ના)
ધર્મનાથ	ધર્મનાથ
ધર્મપુરી	ધર્મ પુર +(ી)
ધર્મમાં	ધર્મમાં
ધર્મવીર	ધર્મવીર
ધર્મશાલા	ધર્મશાલા
ધર્મેન્દ્ર	ધર્મેન્દ્ર
ધવલાગિરી	ધવલાગિરી
ધાઈ	ધાઈ
ધાણાજીરુ	ધાણાજીરુ
ધાણેટી	ધાણેટી
ધાતુ	ધાતુ
ધાતુશાસ્ત્ર	ધાતુ શાસ્ત્ર
ધાદિંગ	ધાદિંગ
ધાનશાક	ધાનશાક
ધાનેરા	ધાનેરા
ધાન્ય	ધાન્ય
ધામ	ધામ
ધામ,	ધામ,
ધામાય	ધામાય
ધામી	ધામ +(ી)
ધાર	ધાર
ધારચુલા,	ધારચુલા,
ધારી	ધાર +(ી)
ધાર્મિક	ધાર્મિક
ધાવડા	ધાવડા
ધિરાણ	ધિરાણ
ધિરાણનું	ધિરાણનું
ધી	ધી
ધીણોધર	ધીણોધર
ધીરુ	ધીરુ
ધીરુબેન	ધીરુબેન
ધીરુભાઇ	ધીરુભાઇ
ધીરુભાઈ	ધીરુભાઈ
ધીરેન	ધીરેન
ધીરેન્દ્ર	ધીરેન્દ્ર
ધુંઆધાર	ધુંઆધાર
ધુમ્મસ	ધુમ્મસ
ધુલિયા	ધુલિયા
ધુવારણ	ધુવારણ
ધૂપગઢ	ધૂપગઢ
ધૂમકેતુ	ધૂમકેતુ
ધૂમ્રપાન	ધૂમ્રપાન
ધૃતરાષ્ટ્ર	ધૃતરાષ્ટ્ર
ધૃષ્ટકેતુ	ધૃષ્ટકેતુ
ધૃષ્ટદ્યુમ્ન	ધૃષ્ટદ્યુમ્ન
ધેંકનાલ	ધેંકનાલ
ધેકેલીયા	ધેકેલીયા
ધેમાજી	ધેમાજી
ધોકડવા	ધોકડવા
ધોડીયા	ધોડીયા
ધોતીયું	ધોતીયું
ધોધ	ધોધ
ધોધ,	ધોધ,
ધોની	ધોની
ધોબી	ધોબી
ધોમડો	ધોમડો
ધોરણો	ધોરણો
ધોરાજી	ધોરાજી
ધોરી	ધોર* +(ી)
ધોરીમાર્ગ	ધોરીમાર્ગ
ધોરીમાર્ગો	ધોરીમાર્ગ +(ો)
ધોરીમાર્ગોની	ધોરીમાર્ગોની
ધોરો	ધોર* +(ો)
ધોલપુર	ધોલપુર
ધોલેરા	ધોલેરા
ધોળકા	ધોળકા
ધોળકિયા	ધોળકિયા
ધોળા	ધોળા
ધોળાવીરા	ધોળા વીરા
ધોળી	ધોળી
ધોળીધજા	ધોળીધજા
ધ્યાન	ધ્યાન
ધ્યાની	ધ્યાન +(ી)
ધ્રંગ	ધ્રંગ
ધ્રાંગધ્રા	ધ્રાંગધ્રા
ધ્રાબાવડ	ધ્રાબાવડ
ધ્રુવ	ધ્રુવ
ધ્રુવીય	ધ્રુવીય
ધ્રેવાડ	ધ્રેવાડ
ધ્રોલ	ધ્રોલ
ધ્રોળ	ધ્રોળ
ધ્વજ	ધ્વજ
ધ્વજો	ધ્વજ +(ો)
ધ્વનિ	ધ્વનિ
ધ્વનિત	ધ્વનિત
નં.	નં.
નંદ	નંદ
નંદરબાર	નંદરબાર
નંદરાય	નંદરાય
નંદશંકર	નંદશંકર
નંદા	નંદા
નંદાકિની	નંદાકિની
નંદાદેવી	નંદા દેવ +(ી)
નંદિતા	નંદિતા
નંદેસરી	નંદેસરી
નંબર	નંબર
નકશો	નકશો
નકુલ	નકુલ
નક્કશ	નક્કશ
નક્શ-એ	નક્શ એ
નક્ષત્ર	નક્ષત્ર
નખ	નખ
નખત્રાણા	નખત્રાણા
નગર	નગર
નગરપાલિકા	નગરપાલિકા
નગરહવેલી	નગરહવેલી
નગરો	નગરો
નગીનદાસ	નગીનદાસ
નગેન્દ્ર	નગેન્દ્ર
નચિકેતા	નચિકેતા
નજર	નજર
નટવરસિંહજી	નટવરસિંહજી
નડાલ	નડાલ
નડિયાદની	નડિયાદની
નડીઆદ	નડીઆદ
નત્રલવાયુ	નત્રલવાયુ
નથી	નથી
નથુરામ	નથુરામ
નદિયા	નદિયા
નદી	નદી
નદી,	નદી,
નદીઓ	નદીઓ
નદીઓની	નદીઓની
નબરંગપુર	નબરંગપુર
નમદાફા	નમદાફા
નમાજ઼	નમાજ઼
નમિતા	નમિતા
નમિનાથ	નમિનાથ
નયન	નયન
નયનતારા	નયનતારા
નયાગઢ	નયાગઢ
નરગીસ	નરગીસ
નરનાળા	નરનાળા
નરસંડા	નરસંડા
નરસિંહ	નરસિંહ
નરસિંહપુર	નરસિંહપુર
નરસિંહરાવ	નરસિંહરાવ
નરહરિ	નરહરિ
નરા	નરા
નરેન્દ્ર	નરેન્દ્ર
નરેશ	નરેશ
નર્ક	નર્ક
નર્મદ	નર્મદ
નર્મદા	નર્મદા
નર્મદાવેલી	નર્મદા વેલી
નલબારી	નલબારી
નલિન	નલિન
નલિયા	નલિયા
નળ	નળ
નવકાર	નવકાર
નવગ્રહ	નવગ્રહ
નવઘણ	નવઘણ
નવજોત	નવજોત
નવદીપ	નવદીપ
નવદુર્ગા	નવદુર્ગા
નવનાથ	નવનાથ
નવનિર્માણ	નવનિર્માણ
નવરાત્રી	નવરાત્રી
નવરોજી	નવરોજી
નવરોઝ	નવરોઝ
નવલકથા	નવલકથા
નવલકિશોર	નવલકિશોર
નવલગઢ	નવલગઢ
નવલપરાસી	નવલપરાસી
નવલરામ	નવલરામ
નવલશંકર	નવલશંકર
નવસાર	નવસાર
નવસારી	નવસાર +(ી)
નવા	નવા
નવાગામ	નવાગામ
નવાઝ	નવાઝ
નવાનગર	નવાનગર
નવાપુર	નવાપુર
નવિન	નવિન
નવી	નવી
નવેમ્બર	નવેમ્બર
નવોદય	નવોદય
નસરુદ્દીન	નસરુદ્દીન
નસવાડી	નસવાડી
નસીરુદ્દીન	નસીરુદ્દીન
નસ્લી	નસ્લી
નહિ	નહિ
નહીં	નહીં
નહેર	નહેર
નહેરુ	નહેરુ
નહેરૂ	નહેરૂ
ના	ના
નાંદરખા	નાંદરખા
નાંદુર	નાંદુર
નાંદેડ	નાંદેડ
નાઇક	નાઇક
નાઇજીરીયા	નાઇજીરીયા
નાઈજર	નાઈજર
નાઈટ્સ	નાઈટ્સ
નાઈલ	નાઈલ
નાઉ	નાઉ
નાઉરુનો	નાઉરુનો
નાઓમી	નાઓમી
નાકર	નાકર
નાકો	નાકો
નાગડીયા	નાગડીયા
નાગદા	નાગદા
નાગપટ્ટીનમ	નાગપટ્ટીનમ
નાગપુર	નાગપુર
નાગપૂર	નાગપૂર
નાગમતી	નાગમતી
નાગરિક	નાગરિક
નાગરિકત્વ	નાગરિકત્વ
નાગલપર	નાગલપર
નાગલી	નાગલી
નાગવાડા	નાગવાડા
નાગા	નાગા
નાગાલેંડ	નાગાલેંડ
નાગાલેંડના	નાગાલેંડ +(ના)
નાગાસાકી	નાગાસાકી
નાગેશ્વર	નાગેશ્વર
નાગોઆ	નાગોઆ
નાગોર	નાગોર
નાગોર્નો-કરબાખ	નાગોર્નો કરબાખ
નાગૌર	નાગૌર
નાચણ	નાચણ
નાઝીવાદ	નાઝીવાદ
નાટ્યશાળા	નાટ્યશાળા
નાટ્યશાસ્ત્ર	નાટ્યશાસ્ત્ર
નાડાપા	નાડાપા
નાણાકીય	નાણાકીય
નાણું	નાણું
નાતાલ	નાતાલ
નાથ	નાથ
નાથજીદાદાની	નાથજીદાદાની
નાથુ	નાથુ
નાનકશાહી	નાનકશાહી
નાનખટાઈ	નાનખટાઈ
નાનજીભાઈ	નાનજીભાઈ
નાનપુરા	નાનપુરા
નાના	નાના
નાનાભાઈ	નાનાભાઈ
નાની	નાન* +(ી)
નાનું	નાનું
નાનો	નાન* +(ો)
નાનોસણા	નાનોસણા
નાભિરાજ	નાભિરાજ
નામ	નામ
નામકરણ	નામકરણ
નામગ્યાલ	નામગ્યાલ
નામચી	નામચી
નામદેવ	નામદેવ
નામા	નામા
નામાંકન	નામાંકન
નામિકા	નામિકા
નામિબિયાનો	નામિબિયાનો
નામીબિયા	નામીબિયા
નામો	નામ +(ો)
નાયક	નાયક
નાયકા	નાયકા
