!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ત્રિજટા	ત્રિ@@ જ@@ ટા
ત્રિજ્યા	ત્રિ@@ જ@@ ્યા
ત્રિપાઠી	ત્રિ@@ પા@@ ઠી
ત્રિપિટક	ત્રિ@@ પિ@@ ટક
ત્રિપુરા	ત્રિ@@ પુરા
ત્રિભુવનભાઇ	ત્રિ@@ ભુ@@ વન@@ ભાઇ
ત્રિયુગી	ત્ર@@ િય@@ ુ@@ ગી
ત્રિવેણી	ત્રિ@@ વે@@ ણી
ત્રિવેદી	ત્રિવેદી
ત્રિશૂલ	ત્રિ@@ શ@@ ૂ@@ લ
ત્રિશ્શૂર	ત્રિ@@ શ્@@ શ@@ ૂર
ત્રીજ	ત્ર@@ ી@@ જ
ત્રીજા	ત્ર@@ ી@@ જા
ત્રીજી	ત્ર@@ ી@@ જ ⧺ી
ત્રીજું	ત્ર@@ ી@@ જ@@ ું
ત્રેતાયુગ	ત્ર@@ ે@@ તા@@ યુ@@ ગ
ત્રૈકુટક	ત્ર@@ ૈ@@ કુ@@ ટક
ત્ર્યંબકેશ્વર	ત્ર@@ ્ય@@ ંબ@@ કે@@ શ્વર
ત્સરાપ	ત્સ@@ રા@@ પ
થંજાવુર	થ@@ ં@@ જા@@ વુ@@ ર
થઇ	થ@@ ઇ
થડચડ	થ@@ ડ@@ ચ@@ ડ
થડા	થ@@ ડા
થતા	થ@@ તા
થનગાટ	થ@@ ન@@ ગા@@ ટ
થરા	થ@@ રા
થરાદ	થ@@ રા@@ દ
થલતેજ	થ@@ લ@@ તે@@ જ
થવું	થ@@ વ@@ ું
થાઇલેન્ડ	થા@@ ઇ@@ લેન્ડ
થાઇલેન્ડનો	થા@@ ઇ@@ લેન્ડ@@ નો
થાઈલેન્ડ	થા@@ ઈ@@ લેન્ડ
થાણા	થા@@ ણા
થાનગઢ	થા@@ ન@@ ગઢ
થાપા	થા@@ પા
થાય	થા@@ ય
થાળ	થા@@ ળ
થાળી	થા@@ ળ ⧺ી
થિઓડોર	થિ@@ ઓ@@ ડો@@ ર
થિમ્ફુ	થિ@@ મ્@@ ફ@@ ુ
થીમ	થ@@ ી@@ મ
થુંગા	થુ@@ ંગા
થુમ્બા	થુ@@ મ્@@ બા
થુલિયમ	થુ@@ લિયમ
થેની	થે@@ ની
થેપલા	થે@@ પ@@ લા
થેફ્ટ	થે@@ ફ્@@ ટ
થેલીયમ	થે@@ લ@@ ીયમ
થૉમસ	થ@@ ૉ@@ મ@@ સ
થોટુપોલા	થો@@ ટુ@@ પો@@ લા
થોર	થો@@ ર
થોરડી	થો@@ ર@@ ડી
થોરીયમ	થો@@ ર@@ ીયમ
થૌબલ	થ@@ ૌ@@ બલ
થ્રશ	થ@@ ્ર@@ શ
થ્રેશિંગ	થ@@ ્રે@@ શિ@@ ંગ
થ્રોન્સ	થ@@ ્રો@@ ન્સ
દ	દ
દંડ	દ@@ ંડ
દંતેવાડા	દ@@ ં@@ તે@@ વાડા
દક્ષા	દ@@ ક્ષા
દક્ષિણ	દક્ષિણ
દક્ષિણા	દક્ષિ@@ ણા
દગડ	દ@@ ગ@@ ડ
દગડી	દ@@ ગ@@ ડ ⧺ી
દડો	દ@@ ડો
દતિયા	દ@@ ત@@ િયા
દત્ત	દ@@ ત્@@ ત
દત્તા	દ@@ ત્@@ તા
દત્તાત્રેય	દ@@ ત્તા@@ ત્ર@@ ે@@ ય
દદેલધુરા	દ@@ દે@@ લ@@ ધુ@@ રા
દમણ	દ@@ મણ
દમણગંગા	દ@@ મણ@@ ગંગા
દયાદરા	દયા@@ દરા
દયાનંદ	દયા@@ નંદ
દયારામ	દયા@@ રામ
દયાલ	દયા@@ લ
દર	દર
દરજી	દર@@ જી
દરજીડો	દર@@ જી@@ ડો
દરજ્જો	દર@@ જ્@@ જ@@ ો
દરભંગા	દર@@ ભ@@ ંગા
દરમિયાન	દર@@ મ@@ િયા@@ ન
દરવાજા	દર@@ વા@@ જા
દરિયાઇખાડી	દરિયા@@ ઇ@@ ખા@@ ડી
દરિયાઈ	દરિયા@@ ઈ
દરિયાકિનારો	દરિયા@@ કિ@@ ન@@ ારો
દરિયાતટ	દરિયા@@ ત@@ ટ
દરિયાપુર	દરિયા@@ પુર
દરીયાઈ	દર@@ ીયા@@ ઈ
દરેક	દ@@ રે@@ ક
દર્રાહ	દર@@ ્રા@@ હ
દર્શન	દર્શન
દર્શના	દર્@@ શ ⧺ના
દલપતભાઈ	દ@@ લ@@ પ@@ ત@@ ભાઈ
દલપતરામ	દ@@ લ@@ પ@@ ત@@ રામ
દલાલ	દ@@ લાલ
દલિત	દ@@ લિ@@ ત
દલીચંદ	દ@@ લી@@ ચ@@ ંદ
દળ	દ@@ ળ
દવે	દવે
દશમ	દ@@ શ@@ મ
દશરથ	દ@@ શ@@ ર@@ થ
દશાંશ	દ@@ શ@@ ાં@@ શ
દશાવતાર	દ@@ શા@@ વ@@ તા@@ ર
દશેરા	દ@@ શે@@ રા
દસાડી	દ@@ સા@@ ડી
દસ્ક્રોઇ	દ@@ સ્@@ ક્રો@@ ઇ
દહનશીલતા	દ@@ હ@@ ન@@ શી@@ લ@@ તા
દહાણુ	દ@@ હા@@ ણુ
દહીં	દ@@ હી@@ ં
દહીંવાલા	દ@@ હી@@ ં@@ વાલા
દહીંસર	દ@@ હી@@ ં@@ સર
દહીડા	દ@@ હી@@ ડા
દહીપૂરી	દ@@ હી@@ પૂ@@ રી
દહેગામ	દ@@ હે@@ ગામ
દહેજ	દ@@ હે@@ જ
દહેરાદૂન	દ@@ હે@@ રા@@ દૂ@@ ન
દહેલવી	દ@@ હે@@ લ@@ વી
દાંગ	દા@@ ંગ
દાંડી	દા@@ ંડી
દાંતનું	દા@@ ંત@@ નું
દાંતનો	દા@@ ંત@@ નો
દાંતા	દા@@ ં@@ તા
દાંતીવાડા	દા@@ ં@@ તી@@ વાડા
દાચીગામ	દા@@ ચી@@ ગામ
દાઢી	દા@@ ઢ@@ ી
દાણીધાર	દા@@ ણી@@ ધાર
દાતરડું	દા@@ તર@@ ડ@@ ું
દાત્રાણા	દા@@ ત્રા@@ ણા
દાદરા	દા@@ દરા
દાદરા,	દા@@ દ@@ રા@@ ,
દાદા	દાદા
દાદાભાઈ	દા@@ દા@@ ભાઈ
દાદાવાળા	દાદા@@ વાળા
દાદાસાહેબ	દાદા@@ સાહેબ
દાદૂ	દા@@ દ@@ ૂ
દાન	દાન
દાનીયેલ	દા@@ ન@@ ીય@@ ે@@ લ
દાબેલી	દા@@ બે@@ લી
દાભોસા	દા@@ ભો@@ સા
દામાણી	દા@@ મા@@ ણી
દામોદર	દામો@@ દર
દામોદરન	દામો@@ દર@@ ન
દામોહ	દામો@@ હ
દાયકો	દા@@ ય@@ કો
દાયણ	દા@@ ય@@ ણ
દારચુલા	દાર@@ ચુ@@ લા
દારમા	દાર@@ મા
દારાંગ	દા@@ રા@@ ંગ
દારૂલ	દાર@@ ૂ@@ લ
દાર્જિલિંગ	દા@@ ર્@@ જિ@@ લિંગ
દાર્જીલીંગ	દા@@ ર્@@ જી@@ લી@@ ંગ
દાલ	દા@@ લ
દાળ	દા@@ ળ
દાવકી,	દા@@ વ@@ કી@@ ,
દાવનગિરી	દા@@ વન@@ ગિ@@ રી
દાવર	દા@@ વર
દાશરાજ્ઞ	દા@@ શ@@ રાજ@@ ્@@ ઞ
દાસ	દાસ
દાહ	દા@@ હ
દાહિર	દા@@ હિ@@ ર
દાહોદ	દા@@ હો@@ દ
દિંડીગુલ	દિ@@ ંડ@@ ી@@ ગુ@@ લ
દિક્ષીત	દિ@@ ક્ષ@@ ીત
દિગંબર	દિ@@ ગં@@ બર
દિગીશ	દિ@@ ગી@@ શ
દિગ્દર્શકો	દિ@@ ગ્@@ દર્@@ શ@@ કો
દિઘે	દિ@@ ઘ@@ ે
દિન	દિન
દિનકર	દિ@@ ન@@ કર
દિનાજપુર	દિ@@ ના@@ જ@@ પુર
દિપક	દિ@@ પ@@ ક
દિપડો	દિ@@ પ@@ ડો
દિબાંગ	દિ@@ બા@@ ંગ
દિબ્રુગઢ	દિ@@ બ્રુ@@ ગઢ
દિમા	દિ@@ મા
દિયાસ	દ@@ િયા@@ સ
દિયોદર	દ@@ િયો@@ દર
દિલરાસ	દિ@@ લ@@ રા@@ સ
દિલશાન	દિ@@ લ@@ શા@@ ન
દિલિપ	દિ@@ લિ@@ પ
દિલીપ	દિ@@ લી@@ પ
દિલ્હી	દિલ્હી
દિલ્હીના	દિલ્હી ⧺ના
દિલ્હીનો	દિલ્@@ હી@@ નો
દિવસ	દિવસ
દિવસો	દિવસ ⧺ો
દિવાન	દિ@@ વાન
દિવાળી	દિ@@ વાળી
દિવાળીબેન	દિ@@ વા@@ ળ@@ ી@@ બેન
દિવેટિયા	દિ@@ વે@@ ટ@@ િયા
દિવેલ	દિ@@ વેલ
દિવેલી	દિ@@ વેલ ⧺ી
દિવ્ય	દિવ@@ ્ય
દિશા	દિ@@ શા
દિશાઓ	દિ@@ શા@@ ઓ
દિસપુર	દિ@@ સપુર
દીક્ષાભૂમિ	દી@@ ક્ષ@@ ા@@ ભૂ@@ મિ
દીક્ષિત	દી@@ ક્ષિ@@ ત
દીદાત	દી@@ દા@@ ત
દીનદયાલ	દી@@ ન@@ દયા@@ લ
દીનદયાળ	દી@@ ન@@ દયા@@ ળ
દીના	દી@@ ના
દીનારા	દી@@ ન@@ ારા
દીપિકા	દી@@ પિ@@ કા
દીમાપૂર	દી@@ મા@@ પૂર
દીવ	દી@@ વ
દીવાદાંડી	દી@@ વા@@ દા@@ ંડી
દીવાન	દી@@ વાન
દીવાલ	દી@@ વાલ
દું?	દુ@@ ં@@ ?
દુઃશાસન	દુ@@ ઃ@@ શા@@ સન
દુકાળ	દુ@@ કાળ
દુક્કડં	દુ@@ ક્@@ કડ@@ ં
દુખાવો	દુ@@ ખા@@ વો
દુગારવાડી	દુ@@ ગ@@ ાર@@ વાડી
દુધગંગા	દુ@@ ધ@@ ગંગા
દુધસાગર	દુ@@ ધ@@ સાગર
દુધાળા	દુ@@ ધા@@ ળા
દુન	દુ@@ ન
દુનિયાની	દુ@@ ન@@ િયા@@ ની
દુબઈ	દુ@@ બ@@ ઈ
દુમકા	દુ@@ મ@@ કા
દુરંતો	દુ@@ ર@@ ંત@@ ો
દુર્ગ	દુર્ગ
દુર્ગા	દુર્@@ ગા
દુર્ગાવતી	દુર્@@ ગા@@ વતી
દુર્યોધન	દુર્@@ યો@@ ધન
દુર્વાસા	દુર્@@ વા@@ સા
દુલા	દુ@@ લા
દુલિપસિંહજી	દુ@@ લિપ@@ સિંહ@@ જી
દુશલા	દુ@@ શ@@ લા
દુષ્કાળ	દુ@@ ષ્@@ કાળ
દૂત	દૂ@@ ત
દૂતાવાસ	દૂ@@ તા@@ વાસ
દૂધ	દૂ@@ ધ
દૂધપાક	દૂ@@ ધ@@ પા@@ ક
દૂધરાજ	દૂ@@ ધ@@ રાજ
દૂધસાગર	દૂ@@ ધ@@ સાગર
દૂધી	દૂ@@ ધ ⧺ી
દૂરદર્શન	દૂ@@ ર@@ દર્શન
દૂરબીન	દૂ@@ ર@@ બી@@ ન
દૂરસંચાર	દૂ@@ ર@@ સં@@ ચાર
દૃષ્ટિકોણ	દ@@ ૃ@@ ષ્@@ ટિ@@ કોણ
દે	દ@@ ે
દેગામ	દે@@ ગામ
દેત્રોજ	દે@@ ત્ર@@ ો@@ જ
દેત્રોજ-રામપુરા	દે@@ ત્ર@@ ો@@ જ@@ -@@ રામ@@ પુરા
દેનપસાર	દે@@ ન@@ પ@@ સાર
દેબ્સા	દે@@ બ્@@ સા
દેરા	દે@@ રા
દેરોલ	દે@@ રો@@ લ
દેલવાડા	દે@@ લ@@ વાડા
દેવ	દેવ
દેવકુંડ	દેવ@@ કુંડ
દેવગઢ	દેવ@@ ગઢ
દેવગઢબારિયા	દેવ@@ ગઢ@@ બાર@@ િયા
દેવચકલી	દેવ@@ ચકલી
દેવતા	દેવ@@ તા
દેવતાઓ	દેવ@@ તાઓ
દેવધર	દેવ@@ ધ@@ ર
દેવનાગરી	દેવ@@ નાગ@@ રી
દેવબંદ	દેવ@@ બ@@ ંદ
દેવભૂમિ	દેવ@@ ભૂ@@ મિ
દેવરાજીયા	દેવ@@ રાજ@@ ીયા
દેવરિયા	દેવ@@ રિયા
દેવરી	દેવ@@ રી
દેવળ	દેવ@@ ળ
દેવળા	દેવ@@ ળા
દેવળીયા	દેવ@@ ળ@@ ીયા
દેવસર	દેવ@@ સર
દેવાંગ	દે@@ વા@@ ંગ
દેવાનંદ	દે@@ વા@@ નંદ
દેવાયત	દે@@ વાય@@ ત
દેવાસ	દે@@ વાસ
દેવી	દેવ ⧺ી
દેવી,	દે@@ વી@@ ,
દેવીકુલમ,	દે@@ વી@@ કુ@@ લ@@ મ,
દેવીપાટન	દે@@ વી@@ પા@@ ટન
દેવીપુજક	દે@@ વી@@ પુ@@ જ@@ ક
દેવેન	દે@@ વે@@ ન
દેવેન્દ્ર	દે@@ વે@@ ન્દ્ર
દેવૈઆ	દે@@ વૈ@@ આ
દેશ	દેશ
દેશમુખ	દે@@ શ@@ મુ@@ ખ
દેશલપર	દે@@ શ@@ લ@@ પર
દેશી	દેશ ⧺ી
દેશો	દેશ ⧺ો
દેશોના	દેશ ⧺ો ⧺ના
દેશોની	દેશોની
દેસાઇ	દે@@ સા@@ ઇ
દેસાઈ	દેસાઈ
દેહરાદૂન	દે@@ હ@@ રા@@ દૂ@@ ન
દેહાંતદંડ	દે@@ હા@@ ંત@@ દ@@ ંડ
દેહાત	દે@@ હા@@ ત
દૈનિક	દ@@ ૈ@@ નિક
દૈયડ	દ@@ ૈ@@ ય@@ ડ
દૈલેખ	દ@@ ૈ@@ લેખ
દોઆબ	દો@@ આ@@ બ
દોડવીર	દો@@ ડ@@ વીર
દોરાબજી	દો@@ રા@@ બ@@ જી
દોલતપર	દો@@ લ@@ ત@@ પર
દોલપા	દો@@ લ@@ પા
દોશી	દો@@ શી
દોહા	દો@@ હા
દૌસા	દ@@ ૌ@@ સા
દ્રવ્યમાન	દ્ર@@ વ્ય@@ માન
દ્રષ્ટિ	દ્ર@@ ષ્ટ@@ િ
દ્રાંગ	દ્ર@@ ાંગ
દ્રાક્ષ	દ્ર@@ ા@@ ક્ષ
દ્રુંગ	દ્ર@@ ુ@@ ંગ
દ્રુપદ	દ્ર@@ ુ@@ પ@@ દ
દ્રુહ્યુ	દ્ર@@ ુ@@ હ@@ ્ય@@ ુ
દ્રોણ	દ્ર@@ ો@@ ણ
દ્રૌપદી	દ્ર@@ ૌ@@ પ@@ દી
દ્વાપરયુગ	દ્@@ વા@@ પર@@ યુ@@ ગ
દ્વારકા	દ્@@ વાર@@ કા
દ્વારકાધીશ	દ્@@ વાર@@ કા@@ ધી@@ શ
દ્વિજ	દ્વિ@@ જ
દ્વિતીય	દ્વિ@@ ત@@ ીય
દ્વિનામી	દ્વિ@@ ના@@ મી
દ્વિપ	દ્વિ@@ પ
દ્વિપસમૂહ	દ્વિ@@ પ@@ સમૂહ
દ્વિવેદી	દ્વિ@@ વેદી
દ્વિસંગી	દ્વિ@@ સંગ@@ ી
દ્વીપ	દ@@ ્વી@@ પ
દ્વીપસમૂહ	દ@@ ્વી@@ પ@@ સમૂહ
ધ	ધ
ધંધુકા	ધ@@ ં@@ ધુ@@ કા
ધન	ધન
ધનબાદ	ધન@@ બાદ
ધનસુખલાલ	ધન@@ સુખ@@ લાલ
ધનસુરા	ધન@@ સુ@@ રા
ધની	ધ@@ ની
ધનુ	ધન@@ ુ
ધનેડાં	ધ@@ ને@@ ડા@@ ં
ધનૌલ્ટી	ધન@@ ૌ@@ લ્@@ ટી
ધમતરી	ધ@@ મત@@ રી
ધમ્મ	ધ@@ મ્@@ મ
ધરણગાંવ	ધ@@ રણ@@ ગાંવ
ધરતીકંપ	ધર@@ તી@@ કં@@ પ
ધરમપુર	ધ@@ રમ@@ પુર
ધરાવતા	ધ@@ રાવ@@ તા
ધરાવતી	ધ@@ રાવતી
ધરો	ધ@@ રો
ધરોઈ	ધ@@ રો@@ ઈ
ધરોહર	ધ@@ રો@@ હર
ધર્મ	ધર્મ
ધર્મકુમારસિંહજી	ધર્મ@@ કુ@@ માર@@ સિંહ@@ જી
ધર્મગ્રંથો	ધર્મ@@ ગ્રં@@ થ ⧺ો
ધર્મજ	ધર્મ@@ જ
ધર્મના	ધર્મ ⧺ના
ધર્મનાથ	ધર્મ@@ નાથ
ધર્મપુરી	ધર્મ@@ પુર ⧺ી
ધર્મમાં	ધર્મ@@ માં
ધર્મવીર	ધર્મ@@ વીર
ધર્મશાલા	ધર્મ@@ શા@@ લા
ધર્મેન્દ્ર	ધર્@@ મે@@ ન્દ્ર
ધવલાગિરી	ધ@@ વ@@ લા@@ ગિ@@ રી
ધાઈ	ધા@@ ઈ
ધાણાજીરુ	ધા@@ ણા@@ જી@@ રુ
ધાણેટી	ધા@@ ણ@@ ે@@ ટી
ધાતુ	ધા@@ તુ
ધાતુશાસ્ત્ર	ધા@@ તુ@@ શાસ્ત્ર
ધાદિંગ	ધા@@ દિ@@ ંગ
ધાનશાક	ધા@@ ન@@ શા@@ ક
ધાનેરા	ધા@@ ને@@ રા
ધાન્ય	ધા@@ ન્ય
ધામ	ધામ
ધામ,	ધા@@ મ,
ધામાય	ધા@@ મા@@ ય
ધામી	ધામ ⧺ી
ધાર	ધાર
ધારચુલા,	ધ@@ ાર@@ ચુ@@ લા@@ ,
ધારી	ધાર ⧺ી
ધાર્મિક	ધા@@ ર્@@ મિક
ધાવડા	ધા@@ વડા
ધિરાણ	ધિ@@ રા@@ ણ
ધિરાણનું	ધિ@@ રાણ@@ નું
ધી	ધ@@ ી
ધીણોધર	ધી@@ ણો@@ ધ@@ ર
ધીરુ	ધી@@ રુ
ધીરુબેન	ધી@@ રુ@@ બેન
ધીરુભાઇ	ધી@@ રુ@@ ભાઇ
ધીરુભાઈ	ધી@@ રુ@@ ભાઈ
ધીરેન	ધી@@ રે@@ ન
ધીરેન્દ્ર	ધી@@ રે@@ ન્દ્ર
ધુંઆધાર	ધુ@@ ં@@ આ@@ ધાર
ધુમ્મસ	ધુ@@ મ્મ@@ સ
ધુલિયા	ધુ@@ લિયા
ધુવારણ	ધુ@@ વા@@ રણ
ધૂપગઢ	ધ@@ ૂ@@ પ@@ ગઢ
ધૂમકેતુ	ધ@@ ૂ@@ મ@@ કે@@ તુ
ધૂમ્રપાન	ધ@@ ૂ@@ મ@@ ્ર@@ પા@@ ન
ધૃતરાષ્ટ્ર	ધ@@ ૃ@@ ત@@ રાષ્ટ્ર
ધૃષ્ટકેતુ	ધ@@ ૃ@@ ષ્ટ@@ કે@@ તુ
ધૃષ્ટદ્યુમ્ન	ધ@@ ૃ@@ ષ્ટ@@ દ@@ ્યુ@@ મ્@@ ન
ધેંકનાલ	ધે@@ ંક@@ ના@@ લ
ધેકેલીયા	ધે@@ કે@@ લ@@ ીયા
ધેમાજી	ધે@@ મા@@ જી
ધોકડવા	ધો@@ કડ@@ વા
ધોડીયા	ધો@@ ડીયા
ધોતીયું	ધો@@ ત@@ ીય@@ ું
ધોધ	ધોધ
ધોધ,	ધો@@ ધ@@ ,
ધોની	ધો@@ ની
ધોબી	ધો@@ બી
ધોમડો	ધો@@ મ@@ ડો
ધોરણો	ધો@@ રણ@@ ો
ધોરાજી	ધો@@ રાજ@@ ી
ધોરી	ધો@@ ર ⧺ી
ધોરીમાર્ગ	ધોરીમાર્ગ
ધોરીમાર્ગો	ધોરીમાર્ગ ⧺ો
ધોરીમાર્ગોની	ધોરી@@ માર્@@ ગો@@ ની
ધોરો	ધો@@ ર ⧺ો
ધોલપુર	ધો@@ લપુર
ધોલેરા	ધો@@ લે@@ રા
ધોળકા	ધો@@ ળ@@ કા
ધોળકિયા	ધો@@ ળ@@ ક@@ િયા
ધોળા	ધો@@ ળા
ધોળાવીરા	ધો@@ ળા@@ વી@@ રા
ધોળી	ધો@@ ળી
ધોળીધજા	ધો@@ ળ@@ ી@@ ધ@@ જા
ધ્યાન	ધ્યા@@ ન
ધ્યાની	ધ્યા@@ ન ⧺ી
ધ્રંગ	ધ્ર@@ ંગ
ધ્રાંગધ્રા	ધ@@ ્રા@@ ંગ@@ ધ્ર@@ ા
ધ્રાબાવડ	ધ@@ ્રા@@ બા@@ વડ
ધ્રુવ	ધ્ર@@ ુ@@ વ
ધ્રુવીય	ધ્ર@@ ુ@@ વ@@ ીય
ધ્રેવાડ	ધ@@ ્રે@@ વાડ
ધ્રોલ	ધ્ર@@ ો@@ લ
ધ્રોળ	ધ્ર@@ ો@@ ળ
ધ્વજ	ધ્વજ
ધ્વજો	ધ્વજ ⧺ો
ધ્વનિ	ધ્વ@@ નિ
ધ્વનિત	ધ્વ@@ નિ@@ ત
નં.	ન@@ ં@@ .
નંદ	નંદ
નંદરબાર	નંદ@@ ર@@ બા@@ ર
નંદરાય	નંદ@@ રાય
નંદશંકર	નંદ@@ શંકર
નંદા	નંદ@@ ા
નંદાકિની	નંદ@@ ા@@ કિ@@ ની
નંદાદેવી	નંદ@@ ા@@ દેવ ⧺ી
નંદિતા	ન@@ ંદિ@@ તા
નંદેસરી	નંદ@@ ે@@ સ@@ રી
નંબર	ન@@ ં@@ બર
નકશો	ન@@ ક@@ શ@@ ો
નકુલ	ન@@ કુ@@ લ
નક્કશ	ન@@ ક્@@ ક@@ શ
નક્શ-એ	ન@@ ક્@@ શ@@ -@@ એ
નક્ષત્ર	ન@@ ક્ષ@@ ત્ર
નખ	ન@@ ખ
નખત્રાણા	ન@@ ખ@@ ત્રા@@ ણા
નગર	નગર
નગરપાલિકા	નગ@@ ર@@ પા@@ લિ@@ કા
નગરહવેલી	નગ@@ ર@@ હવેલી
નગરો	નગ@@ રો
નગીનદાસ	ન@@ ગી@@ ન@@ દાસ
નગેન્દ્ર	ન@@ ગે@@ ન્દ્ર
નચિકેતા	ન@@ ચિ@@ કે@@ તા
નજર	ન@@ જર
નટવરસિંહજી	ન@@ ટ@@ વર@@ સિંહ@@ જી
નડાલ	ન@@ ડા@@ લ
નડિયાદની	ન@@ ડિયા@@ દ@@ ની
નડીઆદ	ન@@ ડી@@ આ@@ દ
નત્રલવાયુ	ન@@ ત્ર@@ લ@@ વાયુ
નથી	ન@@ થી
નથુરામ	ન@@ થુ@@ રામ
નદિયા	ન@@ દ@@ િયા
નદી	નદી
નદી,	નદી@@ ,
નદીઓ	નદી@@ ઓ
નદીઓની	નદી@@ ઓની
નબરંગપુર	ન@@ બર@@ ંગ@@ પુર
નમદાફા	ન@@ મ@@ દા@@ ફ@@ ા
નમાજ઼	ન@@ મા@@ જ@@ ઼
નમિતા	ન@@ મિ@@ તા
નમિનાથ	ન@@ મિ@@ નાથ
નયન	ન@@ ય@@ ન
નયનતારા	ન@@ ય@@ ન@@ ત@@ ારા
નયાગઢ	ન@@ યા@@ ગઢ
નરગીસ	નર@@ ગી@@ સ
નરનાળા	નર@@ ના@@ ળા
નરસંડા	નર@@ સં@@ ડા
નરસિંહ	નર@@ સિંહ
નરસિંહપુર	નર@@ સિંહ@@ પુર
નરસિંહરાવ	નર@@ સિંહ@@ રાવ
નરહરિ	નર@@ હર@@ િ
નરા	ન@@ રા
નરેન્દ્ર	ન@@ રે@@ ન્દ્ર
નરેશ	ન@@ રે@@ શ
નર્ક	ન@@ ર્ક
નર્મદ	નર્મ@@ દ
નર્મદા	નર્મ@@ દા
નર્મદાવેલી	નર્મ@@ દા@@ વેલી
નલબારી	ન@@ લ@@ બ@@ ારી
નલિન	ન@@ લિ@@ ન
નલિયા	ન@@ લિયા
નળ	ન@@ ળ
નવકાર	નવ@@ કાર
નવગ્રહ	નવ@@ ગ્રહ
નવઘણ	નવ@@ ઘ@@ ણ
નવજોત	નવ@@ જો@@ ત
નવદીપ	નવ@@ દી@@ પ
નવદુર્ગા	નવ@@ દુર્@@ ગા
નવનાથ	નવ@@ નાથ
નવનિર્માણ	નવ@@ નિર્@@ મા@@ ણ
નવરાત્રી	નવ@@ રા@@ ત્રી
નવરોજી	નવ@@ રો@@ જી
નવરોઝ	નવ@@ રો@@ ઝ
નવલકથા	નવલ@@ ક@@ થા
નવલકિશોર	નવલ@@ કિ@@ શો@@ ર
નવલગઢ	નવલ@@ ગઢ
નવલપરાસી	નવલ@@ પરા@@ સી
નવલરામ	નવલ@@ રામ
નવલશંકર	નવલ@@ શંકર
નવસાર	નવ@@ સાર
નવસારી	નવ@@ સાર ⧺ી
નવા	ન@@ વા
નવાગામ	ન@@ વા@@ ગામ
નવાઝ	ન@@ વા@@ ઝ
નવાનગર	ન@@ વા@@ નગર
નવાપુર	ન@@ વા@@ પુર
નવિન	ન@@ વિ@@ ન
નવી	ન@@ વી
નવેમ્બર	નવેમ્બર
નવોદય	નવ@@ ો@@ દ@@ ય
નસરુદ્દીન	ન@@ સ@@ રુ@@ દ્દીન
નસવાડી	ન@@ સ@@ વાડી
નસીરુદ્દીન	ન@@ સી@@ રુ@@ દ્દીન
નસ્લી	ન@@ સ્@@ લી
નહિ	ન@@ હ@@ િ
નહીં	ન@@ હી@@ ં
નહેર	ન@@ હેર
નહેરુ	ન@@ હે@@ રુ
નહેરૂ	ન@@ હે@@ ર@@ ૂ
ના	ના
નાંદરખા	ના@@ ંદ@@ ર@@ ખા
નાંદુર	ના@@ ંદ@@ ુ@@ ર
નાંદેડ	ના@@ ંદે@@ ડ
નાઇક	નાઇ@@ ક
નાઇજીરીયા	નાઇ@@ જી@@ ર@@ ીયા
નાઈજર	ના@@ ઈ@@ જર
નાઈટ્સ	ના@@ ઈ@@ ટ્સ
નાઈલ	ના@@ ઈ@@ લ
નાઉ	ના@@ ઉ
નાઉરુનો	ના@@ ઉ@@ રુ@@ નો
નાઓમી	ના@@ ઓ@@ મી
નાકર	ના@@ કર
નાકો	ના@@ કો
નાગડીયા	નાગ@@ ડીયા
નાગદા	નાગ@@ દા
નાગપટ્ટીનમ	નાગ@@ પટ્@@ ટી@@ નમ
નાગપુર	નાગ@@ પુર
નાગપૂર	નાગ@@ પૂર
નાગમતી	નાગ@@ મતી
નાગરિક	નાગ@@ રિક
નાગરિકત્વ	નાગ@@ રિ@@ ક@@ ત્વ
નાગલપર	નાગ@@ લ@@ પર
નાગલી	નાગ@@ લી
નાગવાડા	નાગ@@ વાડા
નાગા	નાગ@@ ા
નાગાલેંડ	ના@@ ગા@@ લેંડ
નાગાલેંડના	ના@@ ગા@@ લેંડ ⧺ના
નાગાસાકી	ના@@ ગા@@ સા@@ કી
નાગેશ્વર	ના@@ ગે@@ શ્વર
નાગોઆ	ના@@ ગો@@ આ
નાગોર	ના@@ ગો@@ ર
નાગોર્નો-કરબાખ	ના@@ ગો@@ ર્@@ નો@@ -@@ કર@@ બા@@ ખ
નાગૌર	નાગ@@ ૌ@@ ર
નાચણ	ના@@ ચ@@ ણ
નાઝીવાદ	ના@@ ઝી@@ વાદ
નાટ્યશાળા	ના@@ ટ@@ ્ય@@ શાળા
નાટ્યશાસ્ત્ર	ના@@ ટ@@ ્ય@@ શાસ્ત્ર
નાડાપા	ના@@ ડા@@ પા
નાણાકીય	ના@@ ણા@@ ક@@ ીય
નાણું	ના@@ ણ@@ ું
નાતાલ	ના@@ તાલ
નાથ	નાથ
નાથજીદાદાની	નાથ@@ જી@@ દા@@ દા@@ ની
નાથુ	નાથ@@ ુ
નાનકશાહી	ના@@ ન@@ ક@@ શા@@ હી
નાનખટાઈ	ના@@ ન@@ ખ@@ ટા@@ ઈ
નાનજીભાઈ	ના@@ ન@@ જી@@ ભાઈ
